name,popularity,followers,pagerank,closeness_cent,clustering,deg_cent,degree,num_collaborators,sum_collaborators_popularity,sum_collaborators_in_playlist,in_playlist
NUEKI,68,297159,4.013321741087357e-05,0.1774175723449235,0.2,0.0001381978993919,5,3,209,0,0
K-391,65,399812,0.0001284934200231,0.2103197533193481,0.0095238095238095,0.0004145936981757,15,15,683,2,0
Chase Bandz,9,897,6.842591756324999e-05,0.1553756950699717,0.0,0.0001658374792703,6,7,189,1,0
Hook N Sling,49,31404,0.00015390628851,0.2172437504502199,0.0158102766798418,0.0006357103372028,23,23,1261,0,0
SPIRIT LINK,27,3054,7.233244755926765e-05,0.2080155636752075,0.0666666666666666,0.0002763957987838,10,10,232,1,0
Aviella,46,9858,4.8851634254350006e-05,0.1770204478109877,0.0,0.0001658374792703,6,7,302,1,0
Logic,75,6096623,4.909496998597562e-05,0.2128482883473388,0.0,0.0001934770591487,7,4,242,1,0
Afinity,40,5739,0.0001684016571525,0.1845753829490256,0.0237154150197628,0.0006357103372028,23,22,937,1,0
Protostar,39,44167,0.0001311348360367,0.1784749836865559,0.0,0.0003869541182974,14,15,580,1,0
Leah Kate,58,240959,1.684634106490819e-05,0.1771226203352533,0.0,5.52791597567717e-05,2,3,176,1,0
TK from Ling tosite sigure,59,458756,1.0316011260788555e-05,0.1746108292149786,0.0,2.763957987838585e-05,1,2,122,1,0
ClariS,52,462110,1.0316011260788555e-05,0.1746108292149786,0.0,2.763957987838585e-05,1,1,52,0,0
Desiigner,62,3515942,5.5188951257869e-05,0.2108669495578178,0.1071428571428571,0.000221116639027,8,7,372,0,0
DJ Whoo Kid,43,71527,0.0001128038770618,0.1781093342733371,0.0151515151515151,0.0003316749585406,12,13,578,1,0
Mackenzie Sol,25,24952,4.02516524296908e-05,0.1748395543768131,0.0,0.0001105583195135,4,5,186,1,0
Volt,24,3600,9.287663117754196e-05,0.1788938200632736,0.0,0.0002763957987838,10,10,249,1,0
EVE,15,817,7.093344504444937e-05,0.2576275875619535,0.0,0.000221116639027,8,9,217,1,0
*NSYNC,78,2664960,7.331610804907162e-05,0.2573598237283024,0.0833333333333333,0.0002487562189054,9,10,445,1,1
Justin Timberlake,83,14636535,8.331333010363863e-05,0.2135864700104055,0.0384615384615384,0.000359314538419,13,14,1056,1,0
